model_config,test_set,domain,accuracy,precision,recall,f1,tp,fp,tn,fn,total
baseline_original_only,original_text,ai_security,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
baseline_original_only,original_text,aigc_detection,0.7500,0.6667,1.0000,0.8000,2,1,1,0,4
baseline_original_only,original_text,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
baseline_original_only,original_text,data_privacy,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
baseline_original_only,original_text,health_consulting,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
baseline_original_only,original_text,large_model,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
baseline_original_only,original_text,network_engineering,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
baseline_original_only,original_text,programming,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
baseline_original_only,original_text,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,original_text,software_project,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
baseline_original_only,casual_rewrite,ai_security,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,casual_rewrite,aigc_detection,0.2500,0.0000,0.0000,0.0000,0,1,1,2,4
baseline_original_only,casual_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,casual_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,casual_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,casual_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
baseline_original_only,casual_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,casual_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,casual_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,casual_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,adversarial_rewrite,ai_security,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,adversarial_rewrite,aigc_detection,0.2500,0.0000,0.0000,0.0000,0,1,1,2,4
baseline_original_only,adversarial_rewrite,algorithm,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,adversarial_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,adversarial_rewrite,health_consulting,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,adversarial_rewrite,large_model,0.5000,0.0000,0.0000,0.0000,0,0,2,2,4
baseline_original_only,adversarial_rewrite,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,adversarial_rewrite,programming,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,adversarial_rewrite,research_training,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
baseline_original_only,adversarial_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
rewrite_augmented,original_text,ai_security,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,original_text,aigc_detection,0.7500,0.6667,1.0000,0.8000,2,1,1,0,4
rewrite_augmented,original_text,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,original_text,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
rewrite_augmented,original_text,health_consulting,0.5000,0.5000,1.0000,0.6667,1,1,0,0,2
rewrite_augmented,original_text,large_model,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
rewrite_augmented,original_text,network_engineering,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
rewrite_augmented,original_text,programming,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,original_text,research_training,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,original_text,software_project,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,casual_rewrite,ai_security,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,casual_rewrite,aigc_detection,0.7500,0.6667,1.0000,0.8000,2,1,1,0,4
rewrite_augmented,casual_rewrite,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,casual_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
rewrite_augmented,casual_rewrite,health_consulting,0.5000,0.5000,1.0000,0.6667,1,1,0,0,2
rewrite_augmented,casual_rewrite,large_model,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
rewrite_augmented,casual_rewrite,network_engineering,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,casual_rewrite,programming,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,casual_rewrite,research_training,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,casual_rewrite,software_project,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
rewrite_augmented,adversarial_rewrite,ai_security,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,adversarial_rewrite,aigc_detection,0.7500,0.6667,1.0000,0.8000,2,1,1,0,4
rewrite_augmented,adversarial_rewrite,algorithm,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,adversarial_rewrite,data_privacy,0.5000,0.0000,0.0000,0.0000,0,0,1,1,2
rewrite_augmented,adversarial_rewrite,health_consulting,0.5000,0.5000,1.0000,0.6667,1,1,0,0,2
rewrite_augmented,adversarial_rewrite,large_model,1.0000,1.0000,1.0000,1.0000,2,0,2,0,4
rewrite_augmented,adversarial_rewrite,network_engineering,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,adversarial_rewrite,programming,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,adversarial_rewrite,research_training,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
rewrite_augmented,adversarial_rewrite,software_project,1.0000,1.0000,1.0000,1.0000,1,0,1,0,2
