model,test_set,domain,accuracy,balanced_accuracy,precision,recall,f1,tp,fp,tn,fn,total
hc3_char_tfidf_logreg,hc3_chatgpt,finance,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
hc3_char_tfidf_logreg,hc3_chatgpt,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
hc3_char_tfidf_logreg,hc3_chatgpt,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
hc3_char_tfidf_logreg,hc3_chatgpt,nlpcc_dbqa,0.8750,0.8750,1.0000,0.7500,0.8571,6,0,8,2,16
hc3_char_tfidf_logreg,hc3_chatgpt,open_qa,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
hc3_char_tfidf_logreg,hc3_chatgpt,psychology,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
hc3_char_tfidf_logreg,deepseek_original,finance,0.7500,0.7500,1.0000,0.5000,0.6667,4,0,8,4,16
hc3_char_tfidf_logreg,deepseek_original,law,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
hc3_char_tfidf_logreg,deepseek_original,medicine,0.6250,0.6250,1.0000,0.2500,0.4000,2,0,8,6,16
hc3_char_tfidf_logreg,deepseek_original,nlpcc_dbqa,0.6875,0.6875,1.0000,0.3750,0.5455,3,0,8,5,16
hc3_char_tfidf_logreg,deepseek_original,open_qa,0.7500,0.7500,1.0000,0.5000,0.6667,4,0,8,4,16
hc3_char_tfidf_logreg,deepseek_original,psychology,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,finance,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,law,0.5000,0.5000,0.5000,0.1250,0.2000,1,1,7,7,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,medicine,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,nlpcc_dbqa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,open_qa,0.6250,0.6250,1.0000,0.2500,0.4000,2,0,8,6,16
hc3_char_tfidf_logreg,deepseek_casual_rewrite,psychology,0.4375,0.4375,0.0000,0.0000,0.0000,0,1,7,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,finance,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,law,0.4375,0.4375,0.0000,0.0000,0.0000,0,1,7,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,medicine,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,nlpcc_dbqa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,open_qa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_char_tfidf_logreg,deepseek_adversarial_rewrite,psychology,0.4375,0.4375,0.0000,0.0000,0.0000,0,1,7,8,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,finance,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,law,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,nlpcc_dbqa,0.8750,0.8750,1.0000,0.7500,0.8571,6,0,8,2,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,open_qa,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
hc3_mixed_tfidf_logreg,hc3_chatgpt,psychology,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
hc3_mixed_tfidf_logreg,deepseek_original,finance,0.7500,0.7500,0.7500,0.7500,0.7500,6,2,6,2,16
hc3_mixed_tfidf_logreg,deepseek_original,law,0.6250,0.6250,0.6667,0.5000,0.5714,4,2,6,4,16
hc3_mixed_tfidf_logreg,deepseek_original,medicine,0.7500,0.7500,1.0000,0.5000,0.6667,4,0,8,4,16
hc3_mixed_tfidf_logreg,deepseek_original,nlpcc_dbqa,0.5625,0.5625,1.0000,0.1250,0.2222,1,0,8,7,16
hc3_mixed_tfidf_logreg,deepseek_original,open_qa,0.6875,0.6875,1.0000,0.3750,0.5455,3,0,8,5,16
hc3_mixed_tfidf_logreg,deepseek_original,psychology,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,finance,0.3750,0.3750,0.0000,0.0000,0.0000,0,2,6,8,16
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,law,0.5000,0.5000,0.5000,0.2500,0.3333,2,2,6,6,16
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,medicine,0.5625,0.5625,1.0000,0.1250,0.2222,1,0,8,7,16
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,nlpcc_dbqa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,open_qa,0.5625,0.5625,1.0000,0.1250,0.2222,1,0,8,7,16
hc3_mixed_tfidf_logreg,deepseek_casual_rewrite,psychology,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,finance,0.3750,0.3750,0.0000,0.0000,0.0000,0,2,6,8,16
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,law,0.4375,0.4375,0.3333,0.1250,0.1818,1,2,6,7,16
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,medicine,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,nlpcc_dbqa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,open_qa,0.5625,0.5625,1.0000,0.1250,0.2222,1,0,8,7,16
hc3_mixed_tfidf_logreg,deepseek_adversarial_rewrite,psychology,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
clean_aligned_mixed_tfidf_logreg,hc3_chatgpt,finance,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
clean_aligned_mixed_tfidf_logreg,hc3_chatgpt,law,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
clean_aligned_mixed_tfidf_logreg,hc3_chatgpt,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
clean_aligned_mixed_tfidf_logreg,hc3_chatgpt,nlpcc_dbqa,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
clean_aligned_mixed_tfidf_logreg,hc3_chatgpt,open_qa,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
clean_aligned_mixed_tfidf_logreg,hc3_chatgpt,psychology,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
clean_aligned_mixed_tfidf_logreg,deepseek_original,finance,0.8125,0.8125,0.7778,0.8750,0.8235,7,2,6,1,16
clean_aligned_mixed_tfidf_logreg,deepseek_original,law,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
clean_aligned_mixed_tfidf_logreg,deepseek_original,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
clean_aligned_mixed_tfidf_logreg,deepseek_original,nlpcc_dbqa,0.7500,0.7500,0.8333,0.6250,0.7143,5,1,7,3,16
clean_aligned_mixed_tfidf_logreg,deepseek_original,open_qa,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
clean_aligned_mixed_tfidf_logreg,deepseek_original,psychology,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
clean_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,finance,0.4375,0.4375,0.3333,0.1250,0.1818,1,2,6,7,16
clean_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,law,0.4375,0.4375,0.3333,0.1250,0.1818,1,2,6,7,16
clean_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,medicine,0.5625,0.5625,1.0000,0.1250,0.2222,1,0,8,7,16
clean_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,nlpcc_dbqa,0.4375,0.4375,0.0000,0.0000,0.0000,0,1,7,8,16
clean_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,open_qa,0.5625,0.5625,1.0000,0.1250,0.2222,1,0,8,7,16
clean_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,psychology,0.4375,0.4375,0.3333,0.1250,0.1818,1,2,6,7,16
clean_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,finance,0.3750,0.3750,0.0000,0.0000,0.0000,0,2,6,8,16
clean_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,law,0.3750,0.3750,0.0000,0.0000,0.0000,0,2,6,8,16
clean_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,medicine,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
clean_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,nlpcc_dbqa,0.4375,0.4375,0.0000,0.0000,0.0000,0,1,7,8,16
clean_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,open_qa,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,8,8,16
clean_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,psychology,0.3750,0.3750,0.0000,0.0000,0.0000,0,2,6,8,16
casual_aug_mixed_tfidf_logreg,hc3_chatgpt,finance,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
casual_aug_mixed_tfidf_logreg,hc3_chatgpt,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
casual_aug_mixed_tfidf_logreg,hc3_chatgpt,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
casual_aug_mixed_tfidf_logreg,hc3_chatgpt,nlpcc_dbqa,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
casual_aug_mixed_tfidf_logreg,hc3_chatgpt,open_qa,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
casual_aug_mixed_tfidf_logreg,hc3_chatgpt,psychology,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
casual_aug_mixed_tfidf_logreg,deepseek_original,finance,0.6875,0.6875,0.7143,0.6250,0.6667,5,2,6,3,16
casual_aug_mixed_tfidf_logreg,deepseek_original,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
casual_aug_mixed_tfidf_logreg,deepseek_original,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
casual_aug_mixed_tfidf_logreg,deepseek_original,nlpcc_dbqa,0.6250,0.6250,1.0000,0.2500,0.4000,2,0,8,6,16
casual_aug_mixed_tfidf_logreg,deepseek_original,open_qa,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
casual_aug_mixed_tfidf_logreg,deepseek_original,psychology,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
casual_aug_mixed_tfidf_logreg,deepseek_casual_rewrite,finance,0.7500,0.7500,0.7500,0.7500,0.7500,6,2,6,2,16
casual_aug_mixed_tfidf_logreg,deepseek_casual_rewrite,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
casual_aug_mixed_tfidf_logreg,deepseek_casual_rewrite,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
casual_aug_mixed_tfidf_logreg,deepseek_casual_rewrite,nlpcc_dbqa,0.7500,0.7500,1.0000,0.5000,0.6667,4,0,8,4,16
casual_aug_mixed_tfidf_logreg,deepseek_casual_rewrite,open_qa,0.7500,0.7500,1.0000,0.5000,0.6667,4,0,8,4,16
casual_aug_mixed_tfidf_logreg,deepseek_casual_rewrite,psychology,0.6875,0.6875,0.7143,0.6250,0.6667,5,2,6,3,16
casual_aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,finance,0.6875,0.6875,0.7143,0.6250,0.6667,5,2,6,3,16
casual_aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,law,0.7500,0.7500,0.8333,0.6250,0.7143,5,1,7,3,16
casual_aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,medicine,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
casual_aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,nlpcc_dbqa,0.6250,0.6250,1.0000,0.2500,0.4000,2,0,8,6,16
casual_aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,open_qa,0.6875,0.6875,1.0000,0.3750,0.5455,3,0,8,5,16
casual_aug_mixed_tfidf_logreg,deepseek_adversarial_rewrite,psychology,0.6250,0.6250,0.6667,0.5000,0.5714,4,2,6,4,16
rewrite_aligned_char_tfidf_logreg,hc3_chatgpt,finance,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
rewrite_aligned_char_tfidf_logreg,hc3_chatgpt,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
rewrite_aligned_char_tfidf_logreg,hc3_chatgpt,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
rewrite_aligned_char_tfidf_logreg,hc3_chatgpt,nlpcc_dbqa,0.8125,0.8125,0.8571,0.7500,0.8000,6,1,7,2,16
rewrite_aligned_char_tfidf_logreg,hc3_chatgpt,open_qa,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
rewrite_aligned_char_tfidf_logreg,hc3_chatgpt,psychology,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
rewrite_aligned_char_tfidf_logreg,deepseek_original,finance,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
rewrite_aligned_char_tfidf_logreg,deepseek_original,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
rewrite_aligned_char_tfidf_logreg,deepseek_original,medicine,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
rewrite_aligned_char_tfidf_logreg,deepseek_original,nlpcc_dbqa,0.5000,0.5000,0.5000,0.1250,0.2000,1,1,7,7,16
rewrite_aligned_char_tfidf_logreg,deepseek_original,open_qa,0.6875,0.6875,1.0000,0.3750,0.5455,3,0,8,5,16
rewrite_aligned_char_tfidf_logreg,deepseek_original,psychology,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
rewrite_aligned_char_tfidf_logreg,deepseek_casual_rewrite,finance,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
rewrite_aligned_char_tfidf_logreg,deepseek_casual_rewrite,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
rewrite_aligned_char_tfidf_logreg,deepseek_casual_rewrite,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
rewrite_aligned_char_tfidf_logreg,deepseek_casual_rewrite,nlpcc_dbqa,0.6250,0.6250,0.7500,0.3750,0.5000,3,1,7,5,16
rewrite_aligned_char_tfidf_logreg,deepseek_casual_rewrite,open_qa,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
rewrite_aligned_char_tfidf_logreg,deepseek_casual_rewrite,psychology,0.8125,0.8125,0.8571,0.7500,0.8000,6,1,7,2,16
rewrite_aligned_char_tfidf_logreg,deepseek_adversarial_rewrite,finance,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
rewrite_aligned_char_tfidf_logreg,deepseek_adversarial_rewrite,law,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
rewrite_aligned_char_tfidf_logreg,deepseek_adversarial_rewrite,medicine,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
rewrite_aligned_char_tfidf_logreg,deepseek_adversarial_rewrite,nlpcc_dbqa,0.6250,0.6250,0.7500,0.3750,0.5000,3,1,7,5,16
rewrite_aligned_char_tfidf_logreg,deepseek_adversarial_rewrite,open_qa,0.8125,0.8125,1.0000,0.6250,0.7692,5,0,8,3,16
rewrite_aligned_char_tfidf_logreg,deepseek_adversarial_rewrite,psychology,0.8125,0.8125,0.8571,0.7500,0.8000,6,1,7,2,16
rewrite_aligned_mixed_tfidf_logreg,hc3_chatgpt,finance,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
rewrite_aligned_mixed_tfidf_logreg,hc3_chatgpt,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
rewrite_aligned_mixed_tfidf_logreg,hc3_chatgpt,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
rewrite_aligned_mixed_tfidf_logreg,hc3_chatgpt,nlpcc_dbqa,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
rewrite_aligned_mixed_tfidf_logreg,hc3_chatgpt,open_qa,0.7500,0.7500,0.7000,0.8750,0.7778,7,3,5,1,16
rewrite_aligned_mixed_tfidf_logreg,hc3_chatgpt,psychology,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_original,finance,0.6875,0.6875,0.7143,0.6250,0.6667,5,2,6,3,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_original,law,0.8750,0.8750,0.8750,0.8750,0.8750,7,1,7,1,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_original,medicine,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_original,nlpcc_dbqa,0.6250,0.6250,1.0000,0.2500,0.4000,2,0,8,6,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_original,open_qa,0.6250,0.6250,0.6250,0.6250,0.6250,5,3,5,3,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_original,psychology,0.8750,0.8750,0.8000,1.0000,0.8889,8,2,6,0,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,finance,0.8125,0.8125,0.7778,0.8750,0.8235,7,2,6,1,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,medicine,1.0000,1.0000,1.0000,1.0000,1.0000,8,0,8,0,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,nlpcc_dbqa,0.7500,0.7500,1.0000,0.5000,0.6667,4,0,8,4,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,open_qa,0.8125,0.8125,0.7273,1.0000,0.8421,8,3,5,0,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_casual_rewrite,psychology,0.7500,0.7500,0.7500,0.7500,0.7500,6,2,6,2,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,finance,0.8125,0.8125,0.7778,0.8750,0.8235,7,2,6,1,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,law,0.9375,0.9375,0.8889,1.0000,0.9412,8,1,7,0,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,medicine,0.9375,0.9375,1.0000,0.8750,0.9333,7,0,8,1,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,nlpcc_dbqa,0.6875,0.6875,1.0000,0.3750,0.5455,3,0,8,5,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,open_qa,0.6250,0.6250,0.6250,0.6250,0.6250,5,3,5,3,16
rewrite_aligned_mixed_tfidf_logreg,deepseek_adversarial_rewrite,psychology,0.8125,0.8125,0.7778,0.8750,0.8235,7,2,6,1,16
